source,policy,scenario,day,residentBand,samples,residentPopulation,marginalCost,foodProduction,foodConsumption,communityLabor,communityContribution,coreLaborReleased,totalEffectiveLabor,dailyNetFood,dailyNetResources,marginalLaborContribution,marginalResourceProduction,cookingCapacity,repairSupport,medicalSupport,defenseRiskReduction,rationNeeded
observed,ALL,,1,0-4,10000,0,1,2.0313,3,0,0,0,2.9254,-0.9687,-10.4111,,,,,,,
observed,ALL,,5,0-4,10000,0.5792,1,1.9315,2.8737,0.0004,0.0011,0.0004,2.4078,-1.5337,-1.7233,,,,,,,
observed,ALL,,10,0-4,10000,0.3227,1,1.1959,1.1592,0.0057,0.014,0.0056,2.9778,0.0165,-2.1921,,,,,,,
observed,ALL,,15,0-4,10000,0.2547,1,0.8643,0.8537,0.0086,0.0195,0.0079,2.43,-0.0047,-0.3643,,,,,,,
observed,ALL,,20,0-4,10000,0.1073,1,0.745,0.7402,0.009,0.0198,0.0081,1.9555,-0.0089,-1.2195,,,,,,,
observed,ALL,,25,0-4,10000,0.1241,1,0.3265,0.3115,0.0039,0.0091,0.0028,1.126,0.0069,-0.7547,,,,,,,
observed,ALL,,30,0-4,10000,0.0552,1,0,0,0,0,0,0,0,0,,,,,,,
observed,NATURAL,,1,0-4,3574,0,1,2.0392,3,0,0,0,2.7913,-0.9608,-10.6725,,,,,,,
observed,NATURAL,,5,0-4,3574,0.5137,1,1.8811,2.7913,0.0007,0.0017,0.0007,2.2849,-1.5232,-1.2024,,,,,,,
observed,NATURAL,,10,0-4,3574,0.2767,1,1.2401,1.1872,0.0059,0.0145,0.0059,2.7645,0.0112,-2.0393,,,,,,,
observed,NATURAL,,15,0-4,3574,0.2331,1,0.8612,0.8302,0.0076,0.0173,0.0068,2.3666,0.0067,-0.4461,,,,,,,
observed,NATURAL,,20,0-4,3574,0.099,1,0.7501,0.7196,0.0102,0.0225,0.009,2.0533,0.014,-1.0232,,,,,,,
observed,NATURAL,,25,0-4,3574,0.1038,1,0.5039,0.4933,0.0032,0.0077,0.0027,1.3532,0.0006,-0.694,,,,,,,
observed,NATURAL,,30,0-4,3574,0.0501,1,0,0,0,0,0,0,0,0,,,,,,,
observed,exploration-greedy,,1,0-4,715,0,1,3.3161,3,0,0,0,3,0.3161,-13.004,,,,,,,
observed,exploration-greedy,,5,0-4,715,0.6769,1,2.4308,3.3175,0.0025,0.0063,0.0025,2.0571,-1.642,-1.2581,,,,,,,
observed,exploration-greedy,,10,0-4,715,0.242,1,0.5273,0.572,0.0064,0.0161,0.0064,2.1407,-0.0503,-3.342,,,,,,,
observed,exploration-greedy,,15,0-4,715,0.1455,1,0.3231,0.3035,0.0028,0.007,0.0022,1.028,0.0168,0.1274,,,,,,,
