policy,day,averageFood,medianFood,foodP10,foodP25,foodP75,foodP90,averagePopulation,medianPopulation,populationP10,populationP90,averageResidentPopulation,residentMedian,residentP10,residentP90,averageHealthySurvivors,injuryRate,missingRate,deathRate,averageProduction,productionMedian,averageConsumption,consumptionMedian,averageCommunityLabor,communityLaborMedian,averageExplorationProgress,failureProbability,averageDailyNetFood,averageDailyNetResources
ALL,1,11.0313,11,9,9,14,16,3,3,3,3,0,0,0,0,2.471,0.529,0,0,0.047,0,3,3,0,0,0.0613,0,-0.9687,-10.4111
ALL,2,7.9704,7,5,6,10,12,3.0001,3,3,3,0.0001,0,0,0,1.9426,1.0574,0,0,2.5199,0,3.0001,3,0,0,0.1224,0,-3.0609,-7.2901
ALL,3,5.6205,4,2,3,8,10,3.0076,3,3,3,0.0076,0,0,0,1.5831,1.4169,0,0,4.6817,0,3.0076,3,0,0,0.1624,0,-2.3499,-2.396
ALL,4,3.9676,3,0,1,6,9,3.3257,3,3,4,0.3257,0,0,1,1.34,1.66,0,0,3.9628,3.2,3.2536,3,0,0,0.2315,0,-1.6529,-2.3863
ALL,5,2.4339,1,0,0,4,7,3.5792,4,3,4,0.5792,1,0,1,1.0162,1.9838,0,0,3.7378,2.2,2.8737,3,0.0004,0,0.2726,0,-1.5337,-1.7233
ALL,6,0.6036,0,0,0,0,2,4.5291,5,4,5,0.5813,1,0,1,1.627,2.3208,0.0214,0.0308,7.208,3.2,2.0235,1,0.0021,0,0.3465,0,-1.8303,3.2204
ALL,7,0.4136,0,0,0,0,2,4.4721,5,4,5,0.6256,1,0,1,1.4016,2.4449,0.051,0.1025,4.3252,2.2,1.7583,1,0.0024,0,0.3706,0.0006,-0.19,-0.3254
ALL,8,0.0785,0,0,0,0,0,4.3063,4,3,5,0.6023,1,0,1,1.178,2.526,0.1003,0.1957,3.0244,0,1.0868,1,0.0041,0,0.4391,0.0027,-0.3351,-0.755
ALL,9,0.1185,0,0,0,0,0,4.0738,4,2,5,0.5873,1,0,1,1.0601,2.4264,0.1941,0.3194,3.0842,0,1.0923,0,0.0042,0,0.4587,0.026,0.04,-1.7394
ALL,10,0.135,0,0,0,0,0,3.4914,4,1,5,0.3227,0,0,1,1.1038,2.0649,0.336,0.4953,3.3403,0,1.1592,0,0.0057,0,0.4655,0.0739,0.0165,-2.1921
ALL,11,0.0793,0,0,0,0,0,3.1507,4,1,5,0.3049,0,0,1,0.9708,1.875,0.5263,0.6279,5.1859,0,0.743,0,0.0046,0,0.4924,0.1216,-0.0557,2.2588
ALL,12,0.1134,0,0,0,0,0,3.8276,4,1,6,0.3008,0,0,1,1.1448,2.382,0.73,0.7432,4.9016,3.2,1.2146,0,0.0051,0,0.5102,0.0063,0.0341,1.5461
ALL,13,0.1139,0,0,0,0,0,3.3965,4,1,6,0.2875,0,0,1,0.9934,2.1156,0.9926,0.8984,3.5183,0,1.1843,0,0.0062,0,0.518,0.1183,0.0005,-0.0784
ALL,14,0.0906,0,0,0,0,0,3.0098,3,0,6,0.272,0,0,1,0.9396,1.7982,1.1909,1.0713,3.0692,0,0.9255,0,0.0078,0,0.5298,0.2403,-0.0233,-0.1517
ALL,15,0.0859,0,0,0,0,0,2.6817,3,0,5,0.2547,0,0,1,0.8729,1.5541,1.3711,1.2019,2.5181,0,0.8537,0,0.0086,0,0.536,0.3311,-0.0047,-0.3643
ALL,16,0.0866,0,0,0,0,0,2.3999,2,0,5,0.2388,0,0,1,0.808,1.3531,1.5425,1.2964,2.1847,0,0.7885,0,0.0083,0,0.5407,0.3982,0.0007,-0.4214
ALL,17,0.0703,0,0,0,0,0,2.1446,1,0,5,0.2259,0,0,1,0.7242,1.1945,1.7024,1.3789,1.9986,0,0.6867,0,0.0087,0,0.5455,0.4604,-0.0163,-0.2591
ALL,18,0.1044,0,0,0,0,0,2.8814,2,1,6,0.2159,0,0,1,1.1708,1.4947,1.8978,1.4367,3.6996,0,0.9813,0,0.0091,0,0.5604,0.068,0.0341,1.1265
ALL,19,0.1095,0,0,0,0,0,2.4763,1,0,6,0.2048,0,0,1,0.9443,1.3272,2.1902,1.5383,2.6664,0,0.8834,0,0.0092,0,0.569,0.2959,0.0051,-0.0994
ALL,20,0.1006,0,0,0,0,0,2.0235,1,0,6,0.1073,0,0,0,0.8407,1.0755,2.3258,1.758,1.795,0,0.7402,0,0.009,0,0.5719,0.509,-0.0089,-1.2195
ALL,21,0.0677,0,0,0,0,0,1.7985,0,0,6,0.0969,0,0,0,0.7107,0.9909,2.4626,1.8358,1.804,0,0.5846,0,0.0046,0,0.5981,0.5799,-0.0329,-0.1417
