stageEventId,choiceId,samples,bestChoiceRate,worstChoiceRate,averageOutcome,medianOutcome,p10Outcome,p90Outcome,variance,standardDeviation,averageCoreAlive,averageResidents,averageHope,averageDefense,averageResourceValue,stateConditionalValue
final-horde-clinic,final-clinic-delay,3000,0.103,0.674,143.3358,146.3738,45.746,233.7138,4791.5916,69.2213,4.1197,10.907,52.356,75.4207,67.7567,"{""population"":{""medium"":132.42596040955638,""high"":167.61975540355655,""low"":81.26829289617484},""food"":{""famine"":140.3192688000002,""tight"":139.2115962666666,""enough"":142.85213706666673,""surplus"":150.96033546666666},""core"":{""mostly-alive"":197.38432500000025,""many-dead"":110.13051405622502,""many-missing"":121.84147751004001},""buildings"":{""low"":137.35398928571433,""medium"":141.56944563492078,""high"":151.27304959349593},""community"":{""low"":119.22152159999992,""medium"":143.85839840000006,""high"":166.92758320000016},""exploration"":{""low"":137.67141136363642,""medium"":143.15260576131706,""high"":149.67300411522635},""endingEligibility"":{""weak"":92.23453939393944,""mixed"":149.9597827160496,""strong"":192.22934238683135}}"
final-horde-clinic,final-clinic-supplies,2310,0.4199,0.0623,161.1225,161.9988,81.5262,240.6855,4214.728,64.9209,4.0978,10.8788,68.0636,80.5087,72.8257,"{""population"":{""medium"":149.37832892741062,""high"":185.9695815275311,""low"":95.45974099616856},""food"":{""tight"":157.71560486956517,""enough"":160.46165422535216,""famine"":158.07097512776838,""surplus"":168.23548965517242},""core"":{""mostly-alive"":217.4861049608356,""many-dead"":127.17492010443861,""many-missing"":139.05217686375323},""buildings"":{""low"":154.20597291666664,""medium"":159.7778567010311,""high"":169.4192360313315},""community"":{""low"":138.68662690707347,""medium"":156.89749370629363,""high"":188.21043939808487},""exploration"":{""low"":158.8148766756033,""medium"":163.02750358126735,""high"":161.52634033412875},""endingEligibility"":{""weak"":100.91670000000005,""mixed"":155.58426474501132,""strong"":193.26774773662544}}"
final-horde-clinic,final-clinic-triage,3000,0.5737,0.278,147.5417,149.6518,56.596,236.6205,4774.4362,69.0973,4.122,10.915,57.9337,74.3297,67.7567,"{""population"":{""medium"":136.65646382252547,""high"":172.37344897400803,""low"":83.20709071038249},""food"":{""famine"":144.03726880000013,""tight"":144.52786293333327,""enough"":146.57660373333334,""surplus"":155.0251354666666},""core"":{""mostly-alive"":204.30803531746048,""many-dead"":112.47454016064269,""many-missing"":125.15864618473898},""buildings"":{""low"":139.6372730158729,""medium"":145.9983642857143,""high"":157.21995},""community"":{""low"":122.65192160000007,""medium"":148.4155484,""high"":171.55768319999999},""exploration"":{""low"":141.82103257575727,""medium"":146.72004403292183,""high"":154.57845679012362},""endingEligibility"":{""weak"":99.08766439393939,""mixed"":154.63185061728387,""strong"":193.09302551440345}}"
final-horde-community,final-community-calm,3000,0.6548,0.2115,146.219,148.6824,50.9534,236.6205,4890.1537,69.9296,4.1237,10.868,57.067,74.1803,68.1267,"{""population"":{""medium"":135.4850047781567,""high"":171.42088399452794,""low"":79.92102513661199},""food"":{""famine"":143.86233546666682,""tight"":143.74212959999986,""enough"":146.6780704,""surplus"":150.59326879999998},""core"":{""mostly-alive"":204.30803531746048,""many-dead"":111.24070481927723,""many-missing"":122.40824457831324},""buildings"":{""low"":139.085388095238,""medium"":144.3091281746033,""high"":155.48290731707309},""community"":{""low"":120.98352159999999,""medium"":146.8384983999999,""high"":170.8348332000001},""exploration"":{""low"":140.68921439393915,""medium"":145.50800699588484,""high"":152.9375102880659},""endingEligibility"":{""weak"":96.91252234848488,""mixed"":153.6012436213992,""strong"":192.4041366255145}}"
final-horde-community,final-community-ignore,3000,0.139,0.7878,131.4516,133.093,37.2511,219.7342,4270.9348,65.3524,4.1193,10.2517,47.9223,76.2367,68.1267,"{""population"":{""medium"":120.65010716723543,""high"":153.78887305061565,""low"":76.81255519125689},""food"":{""famine"":129.15493546666667,""tight"":129.75752959999997,""enough"":132.90060373333338,""surplus"":133.99313546666676},""core"":{""mostly-alive"":181.81175555555564,""many-dead"":99.84055421686749,""many-missing"":112.0955939759036},""buildings"":{""low"":125.2974912698414,""medium"":128.96701507936518,""high"":140.30084430894294},""community"":{""low"":110.23532160000005,""medium"":130.56099840000002,""high"":153.55833320000008},""exploration"":{""low"":125.74233939393947,""medium"":130.70265720164613,""high"":138.40304526748974},""endingEligibility"":{""weak"":82.63430265151523,""mixed"":135.51436090534986,""strong"":180.42476419753112}}"
final-horde-community,final-community-rations,1187,0.5211,0.0017,163.4562,165.17,87.2741,242.1491,3876.157,62.2588,4.2207,12.8922,62.0455,76.8778,78.2879,"{""population"":{""high"":181.46925908419522,""medium"":148.38563356643348,""low"":92.72089382716054},""food"":{""enough"":171.85565178571434,""surplus"":158.3642565629231},""core"":{""mostly-alive"":210.27619626168246,""many-dead"":130.01613684210514,""many-missing"":144.11127598944583},""buildings"":{""low"":156.70349999999985,""medium"":158.75524487804864,""high"":175.5335464566929},""community"":{""medium"":158.37635829383882,""high"":181.27026166666673,""low"":140.97532912280698},""exploration"":{""low"":158.84260425531906,""medium"":163.6892052356021,""high"":168.33198848167527},""endingEligibility"":{""weak"":117.6134978102189,""mixed"":167.60574666666656,""strong"":208.07546321243512}}"
final-horde-last-line,final-last-hold,3000,0.7832,0.1208,147.7043,149.6132,58.232,236.6205,4737.2909,68.828,4.1243,10.9157,57.796,74.5213,67.7567,"{""population"":{""medium"":136.9396122866893,""high"":172.39335321477418,""low"":83.5535387978142},""food"":{""famine"":144.51033546666685,""tight"":144.0364629333332,""enough"":146.82607040000002,""surplus"":155.4443354666666},""core"":{""mostly-alive"":204.30803531746048,""many-dead"":113.06650803212865,""many-missing"":125.0563871485944},""buildings"":{""low"":140.35428690476178,""medium"":145.76522936507945,""high"":157.21995},""community"":{""low"":123.01752160000002,""medium"":148.39389839999996,""high"":171.7014832000001},""exploration"":{""low"":141.86762348484817,""medium"":147.17122716049388,""high"":154.57845679012362},""endingEligibility"":{""weak"":99.38695416666668,""mixed"":154.76132592592586,""strong"":193.14019629629652}}"
final-horde-last-line,final-last-retreat,3000,0.0515,0.8792,132.8779,136.5016,25.4673,227.5844,5026.1219,70.8951,4.134,11.039,48.7753,52.1333,67.7567,"{""population"":{""medium"":122.06968907849819,""high"":156.7968073871408,""low"":71.94260983606554},""food"":{""famine"":129.04793546666664,""tight"":129.62679626666676,""enough"":132.0287370666665,""surplus"":140.80800213333322},""core"":{""mostly-alive"":187.3436999999997,""many-dead"":98.67689959839348,""many-missing"":111.95678875501987},""buildings"":{""low"":126.23350317460317,""medium"":131.7699912698411,""high"":140.81918780487797},""community"":{""low"":109.71527159999982,""medium"":132.78159839999992,""high"":156.1367332000001},""exploration"":{""low"":126.30337159090898,""medium"":133.8923176954731,""high"":139.00608024691346},""endingEligibility"":{""weak"":76.7890848484849,""mixed"":137.94918600823044,""strong"":188.7425111111111}}"
final-horde-last-line,final-last-stockpile,2050,0.242,0,171.6372,173.9884,97.7086,243.4608,3317.9562,57.6017,4.1317,11.162,70.7268,88.1254,71.6796,"{""population"":{""high"":194.73302783810445,""medium"":164.07930456852807,""low"":101.59559678714861},""food"":{""tight"":168.25099264990322,""enough"":171.57222656250002,""famine"":168.34453696498065,""surplus"":178.4941175542405},""core"":{""mostly-alive"":224.44652890173404,""many-missing"":151.7206150220912,""many-dead"":137.7335157584684},""buildings"":{""low"":166.92511117734733,""medium"":170.31377168141597,""high"":177.4277689015693},""community"":{""high"":194.50815218658892,""low"":145.77065368731573,""medium"":174.33127871720123},""exploration"":{""low"":172.81632973805876,""medium"":174.51486934984533,""high"":168.16152211920524},""endingEligibility"":{""weak"":110.19134177215187,""mixed"":157.47481956521756,""strong"":195.0301304526747}}"
final-horde-north-gate,final-gate-fallback,3000,0.1087,0.6287,143.1339,145.454,47.7798,234.2568,4811.8609,69.3676,4.1213,10.9167,55.201,65.7823,68.2484,"{""population"":{""medium"":132.2261938566555,""high"":167.40915294117664,""low"":81.09421311475403},""food"":{""famine"":139.586264,""tight"":140.0586165333334,""enough"":142.2810042666666,""surplus"":150.60979893333345},""core"":{""mostly-alive"":198.5134376984127,""many-dead"":109.30039678714864,""many-missing"":120.92070522088356},""buildings"":{""low"":136.87767301587309,""medium"":140.969990873016,""high"":151.7594691056913},""community"":{""low"":119.76099440000009,""medium"":143.1619768000001,""high"":166.4787916000002},""exploration"":{""low"":135.91599053030296,""medium"":143.4652617283952,""high"":150.6442823045269},""endingEligibility"":{""weak"":91.90152159090917,""mixed"":149.87154156378637,""strong"":192.05619094650226}}"
