policy,endingId,count,rate
ALL,E01,5,0.0005
ALL,E02,0,0
ALL,E03,0,0
ALL,E04,0,0
ALL,E05,106,0.0106
ALL,E06,102,0.0102
ALL,E07,0,0
ALL,E08,21,0.0021
ALL,E09,5977,0.5977
ALL,E10,400,0.04
ALL,E11,55,0.0055
ALL,E12,3334,0.3334
ALL,E13,0,0
NATURAL,E01,2,0.0006
NATURAL,E02,0,0
NATURAL,E03,0,0
NATURAL,E04,0,0
NATURAL,E05,95,0.0266
NATURAL,E06,18,0.005
NATURAL,E07,0,0
NATURAL,E08,17,0.0048
NATURAL,E09,2223,0.622
NATURAL,E10,147,0.0411
NATURAL,E11,48,0.0134
NATURAL,E12,1024,0.2865
NATURAL,E13,0,0
exploration-greedy,E01,0,0
exploration-greedy,E02,0,0
exploration-greedy,E03,0,0
exploration-greedy,E04,0,0
exploration-greedy,E05,0,0
exploration-greedy,E06,0,0
exploration-greedy,E07,0,0
exploration-greedy,E08,0,0
exploration-greedy,E09,332,0.4643
exploration-greedy,E10,3,0.0042
exploration-greedy,E11,0,0
exploration-greedy,E12,380,0.5315
exploration-greedy,E13,0,0
principle-greedy:await-aid,E01,0,0
principle-greedy:await-aid,E02,0,0
principle-greedy:await-aid,E03,0,0
principle-greedy:await-aid,E04,0,0
principle-greedy:await-aid,E05,0,0
principle-greedy:await-aid,E06,14,0.0196
principle-greedy:await-aid,E07,0,0
principle-greedy:await-aid,E08,1,0.0014
principle-greedy:await-aid,E09,400,0.5602
principle-greedy:await-aid,E10,33,0.0462
principle-greedy:await-aid,E11,0,0
principle-greedy:await-aid,E12,266,0.3725
principle-greedy:await-aid,E13,0,0
principle-greedy:community-shares-risk,E01,0,0
principle-greedy:community-shares-risk,E02,0,0
principle-greedy:community-shares-risk,E03,0,0
principle-greedy:community-shares-risk,E04,0,0
principle-greedy:community-shares-risk,E05,0,0
principle-greedy:community-shares-risk,E06,3,0.0042
principle-greedy:community-shares-risk,E07,0,0
principle-greedy:community-shares-risk,E08,0,0
principle-greedy:community-shares-risk,E09,419,0.5868
principle-greedy:community-shares-risk,E10,11,0.0154
principle-greedy:community-shares-risk,E11,0,0
principle-greedy:community-shares-risk,E12,281,0.3936
principle-greedy:community-shares-risk,E13,0,0
principle-greedy:core-leads,E01,1,0.0014
principle-greedy:core-leads,E02,0,0
principle-greedy:core-leads,E03,0,0
principle-greedy:core-leads,E04,0,0
principle-greedy:core-leads,E05,2,0.0028
principle-greedy:core-leads,E06,11,0.0154
principle-greedy:core-leads,E07,0,0
principle-greedy:core-leads,E08,0,0
principle-greedy:core-leads,E09,419,0.5868
principle-greedy:core-leads,E10,34,0.0476
principle-greedy:core-leads,E11,1,0.0014
principle-greedy:core-leads,E12,246,0.3445
principle-greedy:core-leads,E13,0,0
principle-greedy:everyone-shares,E01,1,0.0014
principle-greedy:everyone-shares,E02,0,0
principle-greedy:everyone-shares,E03,0,0
principle-greedy:everyone-shares,E04,0,0
principle-greedy:everyone-shares,E05,1,0.0014
principle-greedy:everyone-shares,E06,13,0.0182
principle-greedy:everyone-shares,E07,0,0
principle-greedy:everyone-shares,E08,2,0.0028
principle-greedy:everyone-shares,E09,425,0.5952
principle-greedy:everyone-shares,E10,38,0.0532
principle-greedy:everyone-shares,E11,2,0.0028
principle-greedy:everyone-shares,E12,232,0.3249
principle-greedy:everyone-shares,E13,0,0
principle-greedy:hold-the-street,E01,0,0
principle-greedy:hold-the-street,E02,0,0
principle-greedy:hold-the-street,E03,0,0
principle-greedy:hold-the-street,E04,0,0
principle-greedy:hold-the-street,E05,2,0.0028
principle-greedy:hold-the-street,E06,11,0.0154
principle-greedy:hold-the-street,E07,0,0
principle-greedy:hold-the-street,E08,1,0.0014
principle-greedy:hold-the-street,E09,405,0.5672
principle-greedy:hold-the-street,E10,34,0.0476
principle-greedy:hold-the-street,E11,1,0.0014
principle-greedy:hold-the-street,E12,260,0.3641
principle-greedy:hold-the-street,E13,0,0
principle-greedy:outward-search,E01,0,0
principle-greedy:outward-search,E02,0,0
principle-greedy:outward-search,E03,0,0
principle-greedy:outward-search,E04,0,0
principle-greedy:outward-search,E05,2,0.0028
principle-greedy:outward-search,E06,15,0.021
principle-greedy:outward-search,E07,0,0
principle-greedy:outward-search,E08,0,0
principle-greedy:outward-search,E09,407,0.57
principle-greedy:outward-search,E10,28,0.0392
principle-greedy:outward-search,E11,1,0.0014
principle-greedy:outward-search,E12,261,0.3655
principle-greedy:outward-search,E13,0,0
principle-greedy:prepare-evacuation,E01,0,0
principle-greedy:prepare-evacuation,E02,0,0
principle-greedy:prepare-evacuation,E03,0,0
principle-greedy:prepare-evacuation,E04,0,0
principle-greedy:prepare-evacuation,E05,2,0.0028
principle-greedy:prepare-evacuation,E06,9,0.0126
principle-greedy:prepare-evacuation,E07,0,0
principle-greedy:prepare-evacuation,E08,0,0
principle-greedy:prepare-evacuation,E09,447,0.6261
principle-greedy:prepare-evacuation,E10,29,0.0406
principle-greedy:prepare-evacuation,E11,1,0.0014
principle-greedy:prepare-evacuation,E12,226,0.3165
principle-greedy:prepare-evacuation,E13,0,0
principle-greedy:preserve-strength,E01,0,0
principle-greedy:preserve-strength,E02,0,0
principle-greedy:preserve-strength,E03,0,0
principle-greedy:preserve-strength,E04,0,0
