policy,phase,exactEventRepeatRate,eventFamilyRepeatRate,mechanicalPatternRepeatRate,consecutiveRepeat2Rate,consecutiveRepeat3Rate,consecutiveRepeat4Rate,characterEventConcentration,locationEventConcentration,uniqueEventRatio
ALL,DAY1-10,0.4993,0.7771,0.7303,1,1,1,0.1761,0.0482,0.5007
ALL,DAY11-20,0.5516,0.8272,0.7522,1,1,1,0.1341,0.0541,0.4484
ALL,DAY21-30,0.5162,0.8374,0.7216,1,1,1,0.0664,0.0368,0.4838
NATURAL,DAY1-10,0.5057,0.7857,0.7387,1,1,1,0.2125,0.0505,0.4943
NATURAL,DAY11-20,0.5565,0.8274,0.7546,1,1,1,0.1536,0.0558,0.4435
NATURAL,DAY21-30,0.5224,0.8402,0.7241,1,1,1,0.0824,0.0413,0.4776
exploration-greedy,DAY1-10,0.4984,0.7871,0.7239,1,1,1,0.2408,0.0499,0.5016
exploration-greedy,DAY11-20,0.5605,0.8156,0.7511,1,1,1,0.1015,0.0359,0.4395
exploration-greedy,DAY21-30,0.5377,0.8471,0.7294,1,1,1,0.0173,0.0248,0.4623
principle-greedy:await-aid,DAY1-10,0.4952,0.7713,0.7282,1,1,1,0.1526,0.0454,0.5048
principle-greedy:await-aid,DAY11-20,0.5501,0.8286,0.7507,1,1,1,0.1271,0.0535,0.4499
principle-greedy:await-aid,DAY21-30,0.5088,0.8339,0.7186,1,1,1,0.0607,0.0352,0.4912
principle-greedy:community-shares-risk,DAY1-10,0.4955,0.7726,0.7269,1,1,1,0.1507,0.0458,0.5045
principle-greedy:community-shares-risk,DAY11-20,0.547,0.8264,0.7506,1,1,1,0.1162,0.0513,0.453
principle-greedy:community-shares-risk,DAY21-30,0.5176,0.839,0.7235,1,1,1,0.0408,0.0315,0.4824
principle-greedy:core-leads,DAY1-10,0.4935,0.7723,0.7274,1,1,1,0.1514,0.0457,0.5065
principle-greedy:core-leads,DAY11-20,0.5472,0.8267,0.7501,1,1,1,0.1253,0.0542,0.4528
principle-greedy:core-leads,DAY21-30,0.5116,0.8344,0.7202,1,1,1,0.0662,0.0363,0.4884
principle-greedy:everyone-shares,DAY1-10,0.4972,0.7728,0.7245,1,1,1,0.1567,0.0475,0.5028
principle-greedy:everyone-shares,DAY11-20,0.5512,0.8282,0.7529,1,1,1,0.1248,0.0541,0.4488
principle-greedy:everyone-shares,DAY21-30,0.5115,0.8362,0.7191,1,1,1,0.0602,0.0349,0.4885
principle-greedy:hold-the-street,DAY1-10,0.4956,0.7723,0.7228,1,1,1,0.1573,0.0482,0.5044
principle-greedy:hold-the-street,DAY11-20,0.5478,0.8259,0.75,1,1,1,0.1248,0.0521,0.4522
principle-greedy:hold-the-street,DAY21-30,0.5122,0.8353,0.7193,1,1,1,0.0629,0.035,0.4878
principle-greedy:outward-search,DAY1-10,0.4966,0.7726,0.7233,1,1,1,0.1608,0.0484,0.5034
principle-greedy:outward-search,DAY11-20,0.5483,0.825,0.75,1,1,1,0.1206,0.052,0.4517
principle-greedy:outward-search,DAY21-30,0.5124,0.8352,0.7197,1,1,1,0.0573,0.0345,0.4876
principle-greedy:prepare-evacuation,DAY1-10,0.4954,0.7724,0.7247,1,1,1,0.1586,0.0473,0.5046
principle-greedy:prepare-evacuation,DAY11-20,0.5495,0.8262,0.7506,1,1,1,0.127,0.0549,0.4505
principle-greedy:prepare-evacuation,DAY21-30,0.5095,0.8337,0.7181,1,1,1,0.0702,0.0364,0.4905
principle-greedy:preserve-strength,DAY1-10,0.4953,0.7725,0.7281,1,1,1,0.1539,0.046,0.5047
principle-greedy:preserve-strength,DAY11-20,0.5496,0.8292,0.7522,1,1,1,0.117,0.0529,0.4504
principle-greedy:preserve-strength,DAY21-30,0.5199,0.8391,0.7245,1,1,1,0.0385,0.0305,0.4801
principle-greedy:triage-first,DAY1-10,0.4972,0.7726,0.724,1,1,1,0.1609,0.0482,0.5028
principle-greedy:triage-first,DAY11-20,0.5485,0.8276,0.7508,1,1,1,0.1258,0.0541,0.4515
principle-greedy:triage-first,DAY21-30,0.5111,0.8358,0.7188,1,1,1,0.0601,0.0351,0.4889
production-greedy,DAY1-10,0.4905,0.7815,0.7429,1,1,1,0.2538,0.0424,0.5095
production-greedy,DAY11-20,0.5409,0.8284,0.7555,1,1,1,0.1757,0.0502,0.4591
production-greedy,DAY21-30,0.5126,0.8397,0.7235,1,1,1,0.0551,0.0297,0.4874
random,DAY1-10,0.5248,0.7944,0.754,1,1,1,0.1611,0.047,0.4752
random,DAY11-20,0.5517,0.8231,0.7649,1,1,1,0.1018,0.0281,0.4483
random,DAY21-30,0.5433,0.8483,0.7412,1,1,1,0.0186,0.0187,0.4567
strong-heuristic,DAY1-10,0.496,0.7719,0.7285,1,1,1,0.1521,0.0452,0.504
strong-heuristic,DAY11-20,0.5486,0.8278,0.7507,1,1,1,0.1275,0.0548,0.4514
strong-heuristic,DAY21-30,0.5105,0.8352,0.7194,1,1,1,0.0643,0.0363,0.4895
survival-greedy,DAY1-10,0.5187,0.7933,0.7443,1,1,1,0.2548,0.0678,0.4813
survival-greedy,DAY11-20,0.5809,0.842,0.7508,1,1,1,0.2617,0.1097,0.4191
survival-greedy,DAY21-30,0.508,0.8305,0.7072,1,1,1,0.2567,0.0968,0.492
