policy,bucket,count,rate
ALL,DAY1-5,0,0
ALL,DAY6-10,739,0.0739
ALL,DAY11-15,2615,0.2615
ALL,DAY16-20,2192,0.2192
ALL,DAY21-25,1629,0.1629
ALL,DAY26-30,2591,0.2591
ALL,none,234,0.0234
NATURAL,DAY1-5,0,0
NATURAL,DAY6-10,243,0.068
NATURAL,DAY11-15,934,0.2613
NATURAL,DAY16-20,753,0.2107
NATURAL,DAY21-25,517,0.1447
NATURAL,DAY26-30,995,0.2784
NATURAL,none,132,0.0369
exploration-greedy,DAY1-5,0,0
exploration-greedy,DAY6-10,99,0.1385
exploration-greedy,DAY11-15,343,0.4797
exploration-greedy,DAY16-20,149,0.2084
exploration-greedy,DAY21-25,76,0.1063
exploration-greedy,DAY26-30,48,0.0671
exploration-greedy,none,0,0
principle-greedy:await-aid,DAY1-5,0,0
principle-greedy:await-aid,DAY6-10,55,0.077
principle-greedy:await-aid,DAY11-15,181,0.2535
principle-greedy:await-aid,DAY16-20,155,0.2171
principle-greedy:await-aid,DAY21-25,124,0.1737
principle-greedy:await-aid,DAY26-30,184,0.2577
principle-greedy:await-aid,none,15,0.021
principle-greedy:community-shares-risk,DAY1-5,0,0
principle-greedy:community-shares-risk,DAY6-10,54,0.0756
principle-greedy:community-shares-risk,DAY11-15,195,0.2731
principle-greedy:community-shares-risk,DAY16-20,183,0.2563
principle-greedy:community-shares-risk,DAY21-25,152,0.2129
principle-greedy:community-shares-risk,DAY26-30,127,0.1779
principle-greedy:community-shares-risk,none,3,0.0042
principle-greedy:core-leads,DAY1-5,0,0
principle-greedy:core-leads,DAY6-10,56,0.0784
principle-greedy:core-leads,DAY11-15,189,0.2647
principle-greedy:core-leads,DAY16-20,144,0.2017
principle-greedy:core-leads,DAY21-25,92,0.1289
principle-greedy:core-leads,DAY26-30,219,0.3067
principle-greedy:core-leads,none,14,0.0196
principle-greedy:everyone-shares,DAY1-5,0,0
principle-greedy:everyone-shares,DAY6-10,64,0.0896
principle-greedy:everyone-shares,DAY11-15,172,0.2409
principle-greedy:everyone-shares,DAY16-20,163,0.2283
principle-greedy:everyone-shares,DAY21-25,111,0.1555
principle-greedy:everyone-shares,DAY26-30,187,0.2619
principle-greedy:everyone-shares,none,17,0.0238
principle-greedy:hold-the-street,DAY1-5,0,0
principle-greedy:hold-the-street,DAY6-10,57,0.0798
principle-greedy:hold-the-street,DAY11-15,182,0.2549
principle-greedy:hold-the-street,DAY16-20,154,0.2157
principle-greedy:hold-the-street,DAY21-25,117,0.1639
principle-greedy:hold-the-street,DAY26-30,190,0.2661
principle-greedy:hold-the-street,none,14,0.0196
principle-greedy:outward-search,DAY1-5,0,0
principle-greedy:outward-search,DAY6-10,57,0.0798
principle-greedy:outward-search,DAY11-15,206,0.2885
principle-greedy:outward-search,DAY16-20,135,0.1891
principle-greedy:outward-search,DAY21-25,131,0.1835
principle-greedy:outward-search,DAY26-30,168,0.2353
principle-greedy:outward-search,none,17,0.0238
principle-greedy:prepare-evacuation,DAY1-5,0,0
principle-greedy:prepare-evacuation,DAY6-10,51,0.0714
principle-greedy:prepare-evacuation,DAY11-15,185,0.2591
principle-greedy:prepare-evacuation,DAY16-20,151,0.2115
principle-greedy:prepare-evacuation,DAY21-25,101,0.1415
principle-greedy:prepare-evacuation,DAY26-30,215,0.3011
principle-greedy:prepare-evacuation,none,11,0.0154
principle-greedy:preserve-strength,DAY1-5,0,0
principle-greedy:preserve-strength,DAY6-10,49,0.0686
principle-greedy:preserve-strength,DAY11-15,196,0.2745
principle-greedy:preserve-strength,DAY16-20,193,0.2703
principle-greedy:preserve-strength,DAY21-25,160,0.2241
principle-greedy:preserve-strength,DAY26-30,116,0.1625
principle-greedy:preserve-strength,none,0,0
principle-greedy:triage-first,DAY1-5,0,0
principle-greedy:triage-first,DAY6-10,53,0.0742
principle-greedy:triage-first,DAY11-15,175,0.2451
principle-greedy:triage-first,DAY16-20,161,0.2255
principle-greedy:triage-first,DAY21-25,124,0.1737
principle-greedy:triage-first,DAY26-30,190,0.2661
principle-greedy:triage-first,none,11,0.0154
production-greedy,DAY1-5,0,0
production-greedy,DAY6-10,65,0.0909
production-greedy,DAY11-15,179,0.2503
production-greedy,DAY16-20,182,0.2545
production-greedy,DAY21-25,156,0.2182
production-greedy,DAY26-30,130,0.1818
production-greedy,none,3,0.0042
random,DAY1-5,0,0
random,DAY6-10,31,0.0434
random,DAY11-15,230,0.3217
random,DAY16-20,275,0.3846
random,DAY21-25,135,0.1888
random,DAY26-30,44,0.0615
random,none,0,0
strong-heuristic,DAY1-5,0,0
strong-heuristic,DAY6-10,48,0.0672
strong-heuristic,DAY11-15,181,0.2535
strong-heuristic,DAY16-20,144,0.2017
strong-heuristic,DAY21-25,134,0.1877
strong-heuristic,DAY26-30,190,0.2661
strong-heuristic,none,17,0.0238
survival-greedy,DAY1-5,0,0
survival-greedy,DAY6-10,0,0
survival-greedy,DAY11-15,1,0.0014
survival-greedy,DAY16-20,3,0.0042
survival-greedy,DAY21-25,16,0.0224
survival-greedy,DAY26-30,583,0.8154
survival-greedy,none,112,0.1566
