policy,locationId,locationName,danger,visits,firstVisitCount,repeatVisitCount,averageReward,averageFoodReward,averageMaterialReward,averageMedicineReward,averageSpecialReward,averageInjuryRisk,averageDeathRisk,averageMissingRisk,averageWorkerCost,averageNetValue,averageFirstVisitNetValue,averageRepeatVisitNetValue,uniqueEventValue,storyUnlockValue,selectionRate
ALL,convenience-store,便利店,1,50241,9952,40289,4.4209,3.3971,1.0238,0,0,0.413,0,0.0196,11.8428,2.8701,4.3593,2.5022,0.6248,0.1299,0.3323
ALL,west-pharmacy,西街药店,2,19725,9930,9795,4.1746,1.0577,0,3.1169,0,0.4672,0.0001,0.0111,14.1002,9.2892,9.1316,9.4489,0.8624,0.393,0.1305
ALL,apartment-402,废弃居民楼,2,10196,9675,521,4.4097,3.1879,1.2019,0.0198,0,0.3887,0,0.0064,13.6467,4.8404,4.9221,3.324,0.9913,0.7125,0.0674
ALL,auto-repair,汽车修理店,3,11992,9105,2887,4.7797,0,0.8942,0,3.8855,0.5937,0.0006,0.0449,25.0424,5.2349,5.8291,3.3608,0.9792,0.0641,0.0793
ALL,school,旧学校,3,36414,9047,27367,3.2499,0.7623,2.4876,0,0,0.4234,0.0004,0.0371,23.2534,0.8818,0.8624,0.8882,0.7533,0.1202,0.2409
ALL,subway,地铁入口,4,6586,6063,523,5.3395,0,0,1.5831,3.7565,0.3107,0.0061,0.1242,21.0967,9.589,9.9469,5.4394,0.9868,0.6127,0.0436
ALL,gas-station,加油站,4,4548,4500,48,5.1429,0,1.3232,0,3.8197,0.3012,0.0064,0.228,19.9488,3.6003,3.6513,-1.1813,0.9985,0.0018,0.0301
ALL,hospital,医院,5,507,490,17,3.6667,0,0,2.5759,1.0907,0.1854,0.0118,0.5444,19.8521,-0.316,-0.5656,6.8776,0.998,0.4103,0.0034
ALL,bus-station,公交总站,4,8620,3381,5239,5.1847,1.7971,3.3876,0,0,0.3227,0.011,0.1839,23.2878,1.3505,2.0719,0.885,0.8405,0.5385,0.057
ALL,warehouse,北仓库,5,2350,2350,0,7.5098,0,5.3077,0,2.2021,0.2366,0.0204,0.3591,25.3055,2.123,2.123,0,1,0,0.0155
NATURAL,convenience-store,便利店,1,21601,3526,18075,4.5144,3.3567,1.1578,0,0,0.3407,0,0.0213,12.0231,3.0888,4.4941,2.8147,0.5423,0.1187,0.4097
NATURAL,west-pharmacy,西街药店,2,6361,3504,2857,4.4664,1.1875,0,3.2789,0,0.4407,0,0.0086,14.8445,10.1213,9.7503,10.5762,0.8878,0.4356,0.1206
NATURAL,apartment-402,废弃居民楼,2,3853,3332,521,4.4397,3.1653,1.2219,0.0524,0,0.354,0,0.0091,15.3657,4.7836,5.0118,3.324,0.9769,0.6691,0.0731
NATURAL,auto-repair,汽车修理店,3,4106,2679,1427,4.5801,0,0.8729,0,3.7073,0.4752,0.0007,0.056,24.3641,5.1932,6.2057,3.2922,0.9661,0.0828,0.0779
NATURAL,school,旧学校,3,9976,2621,7355,3.2116,0.7384,2.4732,0,0,0.3559,0.0007,0.0391,23.3212,1.048,0.9301,1.0899,0.7498,0.1172,0.1892
