policy,stageDay,principle,pickCount,pickRate,survivalRate,deathRate,averageFinalPopulation,averageFood,averageMoraleEquivalent,averageEndingScore,goodEndingRate,badEndingRate,resourceDeltaAfterPick,expectedValue30Day,scoreMedian,scoreP10,scoreP90
ALL,7,everyone-shares,2243,0.2243,0.3348,0.9603,1.5033,0.0816,4.0655,-22.5395,0.0013,0.9514,-9.8212,-22.5395,-46.55,-65.3894,60.3508
ALL,7,triage-first,5145,0.5145,0.173,0.9695,0.6507,0.04,1.3129,-39.714,0.0002,0.9843,-3.5257,-39.714,-50.6144,-67.304,16.3338
ALL,7,outward-search,2612,0.2612,0.1558,0.9759,0.5525,0.0406,1.1562,-41.2622,0.0004,0.9832,-7.0146,-41.2622,-50.4712,-67.2731,3.7722
ALL,14,core-leads,6070,0.607,0.1952,0.8745,0.7189,0.041,1.3705,-37.9115,0.0005,0.9809,-3.9619,-37.9115,-49.9216,-67.161,22.3724
ALL,14,community-shares-risk,1662,0.1662,0.08,0.8165,0.2274,0.0812,0.5764,-49.323,0.0012,0.9964,-5.3786,-49.323,-52.247,-67.2856,-35.0875
ALL,14,preserve-strength,2268,0.2268,0.3219,0.7235,1.5084,0.0489,4.2403,-22.2947,0,0.9506,-5.5884,-22.2947,-47.0096,-66.0888,62.4306
ALL,21,hold-the-street,5503,0.5503,0.249,0.3751,1.04,0.0554,2.7265,-31.667,0.0007,0.9678,-2.4368,-31.667,-49.2,-66.5251,44.9896
ALL,21,prepare-evacuation,3535,0.3535,0.1545,0.3598,0.559,0.0436,0.8704,-41.6727,0.0003,0.9881,-4.0861,-41.6727,-50.64,-67.6016,4.126
ALL,21,await-aid,962,0.0962,0.1372,0.3441,0.4823,0.0374,0.8451,-42.7086,0,0.9844,-4.0916,-42.7086,-50.792,-67.3709,-5.6989
NATURAL,7,everyone-shares,1529,0.4278,0.4003,0.9575,1.8568,0.1027,5.3277,-15.3956,0.0013,0.9398,-12.2131,-15.3956,-44.2,-63.7728,69.0556
NATURAL,7,triage-first,950,0.2658,0.2505,0.9516,1.0211,0.06,2.4032,-31.0109,0,0.9642,-2.6332,-31.0109,-48.392,-66.7606,46.1035
NATURAL,7,outward-search,1095,0.3064,0.063,0.9699,0.2027,0.0283,0.4548,-50.8021,0,0.9945,-4.3737,-50.8021,-54.3584,-68.7738,-36.0408
NATURAL,14,core-leads,1589,0.4446,0.1101,0.8175,0.37,0.0352,0.7873,-46.6409,0,0.9893,-3.588,-46.6409,-53.28,-68.7455,-29.088
NATURAL,14,community-shares-risk,948,0.2652,0.0749,0.7595,0.2015,0.116,0.5781,-50.7696,0.0021,0.9968,-5.8549,-50.7696,-53.184,-67.0573,-36.7963
NATURAL,14,preserve-strength,1037,0.2902,0.649,0.6422,3.136,0.0762,8.8023,13.1278,0,0.892,-6.1699,13.1278,19.84,-58.754,93.3166
